rule,old_F_present,old_F_confidence,old_F_lift,old_F_support,old_M_present,young_F_present,young_F_confidence,young_F_lift,young_F_support,young_M_present,old_M_confidence,old_M_lift,old_M_support,young_M_confidence,young_M_lift,young_M_support
(eda_max_low) => eda_max_low is-finished-by eda_peaks_medium,True,0.8235,0.8235,0.7778,True,True,0.6129,0.6763,0.5938,True,0.7907,0.7907,0.7907,0.7857,0.8148,0.7857
(eda_max_low) => eda_max_low is-finished-by eda_scr_amp_low,False,,,,False,False,,,,True,,,,0.6429,0.72,0.6429
(eda_max_low) => eda_max_low is-finished-by eda_scr_auc_low,False,,,,False,False,,,,True,,,,0.5357,0.625,0.5357
(eda_max_low) => eda_max_low is-finished-by eda_scr_auc_medium,True,0.6471,0.6471,0.6111,True,False,,,,True,0.6977,0.7317,0.6977,0.7857,0.8462,0.7857
(eda_max_low) => eda_max_low is-finished-by eda_std_high,False,,,,False,False,,,,True,,,,0.5714,0.5926,0.5714
(eda_max_low) => eda_max_low is-finished-by hr_high,False,,,,False,True,0.5806,0.6882,0.5625,False,,,,,,
(eda_max_low) => eda_max_low is-finished-by hr_medium,True,0.5882,0.6618,0.5556,False,False,,,,False,,,,,,
(eda_max_low) => eda_max_low meets arousal_medium,True,0.7059,0.7059,0.6667,False,True,0.5484,0.5661,0.5312,False,,,,,,
(eda_max_low) => eda_max_low meets eda_low,False,,,,False,True,0.6129,0.6538,0.5938,False,,,,,,
(eda_max_low) => eda_max_low meets eda_max_low,False,,,,False,True,0.7097,0.7326,0.6875,True,,,,0.75,0.75,0.75
(eda_max_low) => eda_max_low meets eda_scr_amp_low,False,,,,False,True,0.5806,0.6882,0.5625,False,,,,,,
(eda_max_low) => eda_max_low meets eda_scr_auc_high,False,,,,True,False,,,,False,0.6744,0.6744,0.6744,,,
(eda_max_low) => eda_max_low meets eda_scr_auc_medium,False,,,,False,True,0.5806,0.7432,0.5625,False,,,,,,
(eda_max_low) => eda_max_low meets eda_std_high,False,,,,True,False,,,,False,0.5581,0.5714,0.5581,,,
(eda_max_low) => eda_max_low meets eda_std_low,False,,,,False,False,,,,True,,,,0.5714,0.6667,0.5714
(eda_max_low) => eda_max_low meets hr_medium,False,,,,False,True,0.5161,0.6117,0.5,False,,,,,,
(eda_max_low) => eda_max_low starts eda_scr_auc_high,False,,,,False,True,0.5484,0.5661,0.5312,False,,,,,,
(eda_max_medium) => eda_max_medium before arousal_medium,False,,,,True,False,,,,False,0.6341,0.6341,0.6047,,,
(eda_max_medium) => eda_max_medium before eda_max_medium,False,,,,True,False,,,,False,0.5366,0.5628,0.5116,,,
(eda_max_medium) => eda_max_medium before eda_medium,False,,,,True,False,,,,False,0.7073,0.7418,0.6744,,,
(eda_max_medium) => eda_max_medium before eda_peaks_high,False,,,,True,False,,,,True,0.5122,0.5122,0.4884,0.68,0.68,0.6071
(eda_max_medium) => eda_max_medium before eda_scr_amp_medium,False,,,,True,False,,,,False,0.5854,0.6293,0.5581,,,
(eda_max_medium) => eda_max_medium before eda_scr_auc_low,False,,,,True,False,,,,False,0.5854,0.6803,0.5581,,,
(eda_max_medium) => eda_max_medium before valence_medium,False,,,,True,False,,,,False,0.6098,0.6098,0.5814,,,
(eda_max_medium) => eda_max_medium contains eda_peaks_medium,False,,,,False,True,0.5806,0.6407,0.5625,True,,,,0.64,0.6637,0.5714
(eda_max_medium) => eda_max_medium contains eda_scr_amp_low,False,,,,False,True,0.5161,0.6117,0.5,False,,,,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_high,True,0.5294,0.5294,0.5,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium contains eda_scr_auc_medium,True,0.7059,0.7059,0.6667,False,False,,,,True,,,,0.64,0.6892,0.5714
(eda_max_medium) => eda_max_medium contains eda_std_high,False,,,,False,True,0.6452,0.666,0.625,False,,,,,,
(eda_max_medium) => eda_max_medium contains eda_std_medium,False,,,,False,False,,,,True,,,,0.56,0.56,0.5
(eda_max_medium) => eda_max_medium contains hr_high,False,,,,False,True,0.6452,0.7646,0.625,False,,,,,,
(eda_max_medium) => eda_max_medium equals eda_medium,False,,,,False,False,,,,True,,,,0.6,0.7304,0.5357
(eda_max_medium) => eda_max_medium equals eda_peaks_medium,True,0.7647,0.7647,0.7222,True,False,,,,False,0.7073,0.7073,0.6744,,,
(eda_max_medium) => eda_max_medium equals eda_scr_amp_high,False,,,,True,True,0.5161,0.5328,0.5,False,0.5122,0.5372,0.4884,,,
(eda_max_medium) => eda_max_medium equals valence_medium,False,,,,False,False,,,,True,,,,0.8,0.8,0.7143
(eda_max_medium) => eda_max_medium is-finished-by eda_peaks_high,False,,,,False,True,0.7742,0.7742,0.75,False,,,,,,
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_amp_low,False,,,,False,False,,,,True,,,,0.64,0.7168,0.5714
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_auc_high,False,,,,True,True,0.6129,0.6327,0.5938,False,0.6829,0.6829,0.6512,,,
(eda_max_medium) => eda_max_medium is-finished-by eda_scr_auc_medium,False,,,,True,False,,,,False,0.5854,0.6139,0.5581,,,
(eda_max_medium) => eda_max_medium is-finished-by eda_std_high,False,,,,True,False,,,,True,0.5854,0.5993,0.5581,0.64,0.6637,0.5714
(eda_max_medium) => eda_max_medium is-finished-by eda_std_medium,True,0.5294,0.5606,0.5,True,False,,,,False,0.6829,0.6829,0.6512,,,
(eda_max_medium) => eda_max_medium meets arousal_medium,True,0.7647,0.7647,0.7222,False,True,0.6774,0.6993,0.6562,True,,,,0.64,0.64,0.5714
(eda_max_medium) => eda_max_medium meets eda_max_medium,True,0.7647,0.8097,0.7222,False,False,,,,True,,,,0.72,0.8064,0.6429
(eda_max_medium) => eda_max_medium meets eda_medium,True,0.8824,0.9343,0.8333,False,True,0.6452,0.6882,0.625,False,,,,,,
(eda_max_medium) => eda_max_medium meets eda_peaks_high,True,0.6471,0.6471,0.6111,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium meets eda_scr_amp_low,True,0.6471,0.6851,0.6111,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium meets eda_scr_auc_high,False,,,,False,False,,,,True,,,,0.64,0.64,0.5714
(eda_max_medium) => eda_max_medium meets eda_scr_auc_low,True,0.7059,0.8471,0.6667,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium meets eda_std_low,True,0.7059,0.7474,0.6667,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium meets hr_medium,True,0.5882,0.6618,0.5556,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium meets valence_high,True,0.6471,0.7279,0.6111,False,False,,,,False,,,,,,
(eda_max_medium) => eda_max_medium meets valence_medium,False,,,,False,True,0.7742,0.7742,0.75,False,,,,,,
(eda_medium) => eda_medium before eda_max_low,False,,,,False,False,,,,True,,,,0.5652,0.5652,0.4643
(eda_medium) => eda_medium before eda_max_medium,True,0.5882,0.6228,0.5556,False,False,,,,False,,,,,,
(eda_medium) => eda_medium before eda_peaks_medium,False,,,,False,True,0.6,0.6621,0.5625,False,,,,,,
(eda_medium) => eda_medium before eda_scr_amp_high,False,,,,False,True,0.5,0.5161,0.4688,False,,,,,,
(eda_medium) => eda_medium before eda_scr_auc_high,True,0.5294,0.5294,0.5,False,False,,,,False,,,,,,
(eda_medium) => eda_medium before valence_high,True,0.6471,0.7279,0.6111,False,False,,,,False,,,,,,
(eda_medium) => eda_medium contains eda_peaks_high,False,,,,True,False,,,,True,0.6585,0.6585,0.6279,0.7391,0.7391,0.6071
(eda_medium) => eda_medium contains eda_peaks_medium,False,,,,False,False,,,,True,,,,0.6087,0.6312,0.5
(eda_medium) => eda_medium contains eda_scr_auc_high,False,,,,False,True,0.5667,0.5849,0.5312,False,,,,,,
(eda_medium) => eda_medium contains eda_scr_auc_medium,False,,,,True,False,,,,True,0.6341,0.6651,0.6047,0.7391,0.796,0.6071
(eda_medium) => eda_medium contains eda_std_medium,False,,,,True,False,,,,True,0.6341,0.6341,0.6047,0.6522,0.6522,0.5357
(eda_medium) => eda_medium equals eda_peaks_high,False,,,,False,True,0.6667,0.6667,0.625,False,,,,,,
(eda_medium) => eda_medium equals eda_scr_amp_low,True,0.5294,0.5606,0.5,False,False,,,,False,,,,,,
(eda_medium) => eda_medium equals valence_medium,False,,,,False,False,,,,True,,,,0.7391,0.7391,0.6071
(eda_medium) => eda_medium is-finished-by eda_scr_amp_low,False,,,,False,False,,,,True,,,,0.6957,0.7791,0.5714
(eda_medium) => eda_medium is-finished-by eda_scr_auc_high,False,,,,True,False,,,,False,0.6585,0.6585,0.6279,,,
(eda_medium) => eda_medium is-finished-by eda_std_high,False,,,,True,True,0.6,0.6194,0.5625,True,0.561,0.5743,0.5349,0.6957,0.7214,0.5714
(eda_medium) => eda_medium meets arousal_medium,True,0.7647,0.7647,0.7222,True,True,0.5667,0.5849,0.5312,True,0.7805,0.7805,0.7442,0.5652,0.5652,0.4643
(eda_medium) => eda_medium meets eda_max_high,False,,,,False,True,0.5333,0.5689,0.5,False,,,,,,
(eda_medium) => eda_medium meets eda_max_medium,False,,,,True,False,,,,False,0.7561,0.793,0.7209,,,
(eda_medium) => eda_medium meets eda_medium,True,0.8235,0.872,0.7778,True,True,0.5,0.5333,0.4688,True,0.8293,0.8697,0.7907,0.6522,0.794,0.5357
(eda_medium) => eda_medium meets eda_peaks_high,True,0.6471,0.6471,0.6111,False,False,,,,False,,,,,,
(eda_medium) => eda_medium meets eda_peaks_medium,True,0.8235,0.8235,0.7778,True,False,,,,False,0.6829,0.6829,0.6512,,,
(eda_medium) => eda_medium meets eda_scr_amp_high,False,,,,True,False,,,,False,0.5122,0.5372,0.4884,,,
(eda_medium) => eda_medium meets eda_scr_amp_medium,False,,,,True,False,,,,False,0.5854,0.6293,0.5581,,,
(eda_medium) => eda_medium meets eda_scr_auc_high,False,,,,False,False,,,,True,,,,0.6957,0.6957,0.5714
(eda_medium) => eda_medium meets eda_scr_auc_low,True,0.7647,0.9176,0.7222,True,False,,,,False,0.5854,0.6803,0.5581,,,
(eda_medium) => eda_medium meets eda_scr_auc_medium,True,0.7059,0.7059,0.6667,False,False,,,,False,,,,,,
(eda_medium) => eda_medium meets eda_std_low,True,0.8235,0.872,0.7778,False,False,,,,False,,,,,,
(eda_medium) => eda_medium meets eda_std_medium,True,0.5294,0.5606,0.5,False,False,,,,False,,,,,,
(eda_medium) => eda_medium meets hr_medium,True,0.5294,0.5956,0.5,False,False,,,,False,,,,,,
(eda_medium) => eda_medium meets valence_medium,True,0.6471,0.6471,0.6111,True,True,0.6667,0.6667,0.625,False,0.7805,0.7805,0.7442,,,
(eda_medium) => eda_medium overlaps eda_peaks_low,False,,,,True,False,,,,False,0.561,0.561,0.5349,,,
(eda_peaks_high) => eda_peaks_high before eda_max_low,False,,,,False,False,,,,True,,,,0.5357,0.5357,0.5357
(eda_peaks_high) => eda_peaks_high before eda_peaks_high,False,,,,True,True,0.5312,0.5312,0.5312,True,0.5116,0.5116,0.5116,0.6429,0.6429,0.6429
(eda_peaks_high) => eda_peaks_high before eda_scr_auc_high,False,,,,False,True,0.5625,0.5806,0.5625,True,,,,0.5357,0.5357,0.5357
(eda_peaks_high) => eda_peaks_high before eda_scr_auc_medium,False,,,,False,True,0.5625,0.72,0.5625,False,,,,,,
(eda_peaks_high) => eda_peaks_high before eda_std_high,False,,,,True,False,,,,True,0.5116,0.5238,0.5116,0.6071,0.6296,0.6071
(eda_peaks_high) => eda_peaks_high before eda_std_low,False,,,,True,False,,,,False,0.5116,0.5366,0.5116,,,
(eda_peaks_high) => eda_peaks_high equals eda_scr_amp_low,False,,,,False,True,0.5312,0.6296,0.5312,False,,,,,,
(eda_peaks_high) => eda_peaks_high equals eda_scr_auc_medium,False,,,,True,False,,,,False,0.6047,0.6341,0.6047,,,
(eda_peaks_high) => eda_peaks_high equals eda_std_low,True,0.8333,0.8824,0.8333,False,False,,,,True,,,,0.5714,0.6667,0.5714
(eda_peaks_high) => eda_peaks_high is-finished-by eda_scr_auc_low,True,0.6111,0.7333,0.6111,False,False,,,,False,,,,,,
(eda_peaks_high) => eda_peaks_high is-finished-by valence_high,True,0.5,0.5625,0.5,False,False,,,,False,,,,,,
(eda_peaks_high) => eda_peaks_high meets arousal_medium,True,0.5,0.5,0.5,True,False,,,,False,0.7674,0.7674,0.7674,,,
(eda_peaks_high) => eda_peaks_high meets eda_high,False,,,,False,True,0.5938,0.5938,0.5938,False,,,,,,
(eda_peaks_high) => eda_peaks_high meets eda_max_high,False,,,,False,True,0.5,0.5333,0.5,False,,,,,,
(eda_peaks_high) => eda_peaks_high meets eda_medium,True,0.5,0.5294,0.5,False,False,,,,False,,,,,,
(eda_peaks_high) => eda_peaks_high meets eda_peaks_high,True,0.6111,0.6111,0.6111,False,False,,,,False,,,,,,
(eda_peaks_high) => eda_peaks_high meets eda_peaks_medium,True,0.8333,0.8333,0.8333,True,True,0.625,0.6897,0.625,True,0.7209,0.7209,0.7209,0.75,0.7778,0.75
(eda_peaks_high) => eda_peaks_high meets eda_scr_amp_medium,False,,,,True,False,,,,False,0.5581,0.6,0.5581,,,
(eda_peaks_high) => eda_peaks_high meets eda_scr_auc_high,False,,,,True,False,,,,False,0.5116,0.5116,0.5116,,,
(eda_peaks_high) => eda_peaks_high meets eda_scr_auc_medium,True,0.8333,0.8333,0.8333,False,False,,,,True,,,,0.6071,0.6538,0.6071
(eda_peaks_high) => eda_peaks_high meets eda_std_medium,True,0.5556,0.5882,0.5556,True,True,0.5938,0.7037,0.5938,True,0.6512,0.6512,0.6512,0.75,0.75,0.75
(eda_peaks_high) => eda_peaks_high meets hr_medium,False,,,,False,True,0.5,0.5926,0.5,False,,,,,,
(eda_peaks_high) => eda_peaks_high meets valence_medium,False,,,,False,True,0.6562,0.6562,0.6562,False,,,,,,
(eda_peaks_high) => eda_peaks_high starts valence_medium,True,0.5,0.5,0.5,True,False,,,,True,0.6279,0.6279,0.6279,0.5714,0.5714,0.5714
(eda_peaks_low) => eda_peaks_low before eda_peaks_medium,False,,,,False,True,0.7333,0.8092,0.6875,False,,,,,,
(eda_peaks_low) => eda_peaks_low before eda_scr_amp_high,False,,,,False,False,,,,True,,,,0.5,0.5,0.4643
(eda_peaks_low) => eda_peaks_low before eda_std_medium,False,,,,False,True,0.6,0.7111,0.5625,False,,,,,,
(eda_peaks_low) => eda_peaks_low contains eda_scr_amp_low,False,,,,False,True,0.6333,0.7506,0.5938,False,,,,,,
(eda_peaks_low) => eda_peaks_low equals eda_scr_auc_high,True,0.6111,0.6111,0.6111,False,False,,,,True,,,,0.6923,0.6923,0.6429
(eda_peaks_low) => eda_peaks_low equals eda_scr_auc_medium,True,0.5,0.5,0.5,False,False,,,,False,,,,,,
(eda_peaks_low) => eda_peaks_low equals eda_std_high,True,0.6111,0.6111,0.6111,True,True,0.8,0.8258,0.75,True,0.5116,0.5238,0.5116,0.7308,0.7578,0.6786
(eda_peaks_low) => eda_peaks_low equals valence_medium,False,,,,True,False,,,,False,0.5814,0.5814,0.5814,,,
(eda_peaks_low) => eda_peaks_low is-finished-by eda_scr_amp_high,False,,,,True,True,0.6667,0.6882,0.625,False,0.6047,0.6341,0.6047,,,
(eda_peaks_low) => eda_peaks_low is-finished-by eda_scr_auc_high,False,,,,True,True,0.8333,0.8602,0.7812,False,0.814,0.814,0.814,,,
(eda_peaks_low) => eda_peaks_low is-finished-by hr_medium,True,0.5,0.5625,0.5,False,False,,,,False,,,,,,
(eda_peaks_low) => eda_peaks_low meets eda_max_low,False,,,,False,False,,,,True,,,,0.6154,0.6154,0.5714
(eda_peaks_low) => eda_peaks_low meets eda_peaks_high,False,,,,False,True,0.6,0.6,0.5625,True,,,,0.5385,0.5385,0.5
(eda_peaks_low) => eda_peaks_low meets eda_peaks_medium,True,0.7222,0.7222,0.7222,True,False,,,,True,0.6977,0.6977,0.6977,0.6538,0.6781,0.6071
(eda_peaks_low) => eda_peaks_low meets eda_scr_amp_low,True,0.6111,0.6471,0.6111,False,False,,,,False,,,,,,
(eda_peaks_low) => eda_peaks_low meets eda_scr_amp_medium,False,,,,True,False,,,,False,0.5116,0.55,0.5116,,,
(eda_peaks_low) => eda_peaks_low meets eda_scr_auc_low,True,0.6667,0.8,0.6667,False,True,0.6,0.8,0.5625,True,,,,0.6154,0.7179,0.5714
(eda_peaks_low) => eda_peaks_low meets eda_scr_auc_medium,False,,,,True,False,,,,False,0.5349,0.561,0.5349,,,
(eda_peaks_low) => eda_peaks_low meets eda_std_medium,True,0.5556,0.5882,0.5556,False,False,,,,True,,,,0.6923,0.6923,0.6429
(eda_peaks_low) => eda_peaks_low overlaps eda_scr_amp_low,False,,,,False,False,,,,True,,,,0.6538,0.7323,0.6071
(eda_peaks_low) => eda_peaks_low overlaps eda_std_medium,False,,,,True,False,,,,False,0.6744,0.6744,0.6744,,,
(eda_peaks_low) => eda_peaks_low starts arousal_medium,True,0.5,0.5,0.5,True,True,0.5333,0.5505,0.5,False,0.6047,0.6047,0.6047,,,
(eda_peaks_low) => eda_peaks_low starts eda_high,False,,,,False,True,0.7667,0.7667,0.7188,False,,,,,,
(eda_peaks_low) => eda_peaks_low starts eda_max_high,False,,,,False,True,0.5333,0.5689,0.5,False,,,,,,
(eda_peaks_low) => eda_peaks_low starts valence_medium,True,0.5556,0.5556,0.5556,False,True,0.5,0.5,0.4688,True,,,,0.6538,0.6538,0.6071
(eda_peaks_medium) => eda_peaks_medium before arousal_medium,False,,,,True,False,,,,False,0.6977,0.6977,0.6977,,,
(eda_peaks_medium) => eda_peaks_medium before eda_peaks_high,False,,,,False,False,,,,True,,,,0.6667,0.6667,0.6429
(eda_peaks_medium) => eda_peaks_medium before eda_peaks_medium,False,,,,True,False,,,,False,0.5349,0.5349,0.5349,,,
(eda_peaks_medium) => eda_peaks_medium before eda_scr_amp_low,False,,,,False,False,,,,True,,,,0.6296,0.7052,0.6071
(eda_peaks_medium) => eda_peaks_medium before eda_std_high,False,,,,False,False,,,,True,,,,0.5556,0.5761,0.5357
(eda_peaks_medium) => eda_peaks_medium before eda_std_medium,False,,,,True,False,,,,False,0.6279,0.6279,0.6279,,,
(eda_peaks_medium) => eda_peaks_medium before valence_high,True,0.5,0.5625,0.5,False,True,0.5172,0.5911,0.4688,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium contains eda_scr_auc_medium,False,,,,False,True,0.6552,0.8386,0.5938,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_amp_low,True,0.5,0.5294,0.5,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_auc_high,True,0.5,0.5,0.5,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium equals eda_scr_auc_low,False,,,,False,False,,,,True,,,,0.6296,0.7346,0.6071
(eda_peaks_medium) => eda_peaks_medium equals eda_std_medium,True,0.7222,0.7647,0.7222,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium is-finished-by eda_medium,True,0.5556,0.5882,0.5556,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium is-finished-by eda_scr_auc_low,False,,,,True,False,,,,False,0.5814,0.6757,0.5814,,,
(eda_peaks_medium) => eda_peaks_medium is-finished-by hr_medium,True,0.5,0.5625,0.5,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium meets arousal_medium,True,0.7778,0.7778,0.7778,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_peaks_high,True,0.6667,0.6667,0.6667,True,True,0.7931,0.7931,0.7188,False,0.5581,0.5581,0.5581,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_peaks_medium,True,0.5,0.5,0.5,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_scr_auc_high,False,,,,True,False,,,,False,0.6279,0.6279,0.6279,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_scr_auc_medium,True,0.8333,0.8333,0.8333,True,False,,,,True,0.6744,0.7073,0.6744,0.5556,0.5983,0.5357
(eda_peaks_medium) => eda_peaks_medium meets eda_std_high,False,,,,True,False,,,,False,0.6279,0.6429,0.6279,,,
(eda_peaks_medium) => eda_peaks_medium meets eda_std_low,True,0.7222,0.7647,0.7222,False,False,,,,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium meets hr_medium,False,,,,False,True,0.5172,0.613,0.4688,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium meets valence_medium,True,0.6667,0.6667,0.6667,True,False,,,,False,0.6512,0.6512,0.6512,,,
(eda_peaks_medium) => eda_peaks_medium overlaps eda_scr_auc_low,False,,,,False,True,0.5517,0.7356,0.5,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium starts eda_high,False,,,,False,True,0.5862,0.5862,0.5312,False,,,,,,
(eda_peaks_medium) => eda_peaks_medium starts eda_std_medium,False,,,,False,True,0.5172,0.613,0.4688,True,,,,0.5926,0.5926,0.5714
(eda_peaks_medium) => eda_peaks_medium starts valence_medium,False,,,,False,False,,,,True,,,,0.5556,0.5556,0.5357
(eda_scr_amp_high) => eda_scr_amp_high before eda_max_low,True,0.5,0.5294,0.4444,False,False,,,,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high before eda_peaks_high,False,,,,False,False,,,,True,,,,0.5714,0.5714,0.5714
(eda_scr_amp_high) => eda_scr_amp_high before eda_peaks_medium,False,,,,False,False,,,,True,,,,0.5357,0.5556,0.5357
(eda_scr_amp_high) => eda_scr_amp_high before eda_scr_amp_low,False,,,,False,True,0.5806,0.6882,0.5625,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high before eda_scr_auc_low,False,,,,False,True,0.5161,0.6882,0.5,True,,,,0.5357,0.625,0.5357
(eda_scr_amp_high) => eda_scr_amp_high before eda_std_medium,False,,,,False,False,,,,True,,,,0.6071,0.6071,0.6071
(eda_scr_amp_high) => eda_scr_amp_high contains eda_peaks_high,True,0.5,0.5,0.4444,False,False,,,,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high equals eda_scr_auc_high,True,0.8125,0.8125,0.7222,True,False,,,,False,0.7805,0.7805,0.7442,,,
(eda_scr_amp_high) => eda_scr_amp_high equals hr_medium,True,0.5,0.5625,0.4444,False,False,,,,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high meets arousal_low,False,,,,False,False,,,,True,,,,0.5,0.56,0.5
(eda_scr_amp_high) => eda_scr_amp_high meets eda_max_low,False,,,,False,False,,,,True,,,,0.7143,0.7143,0.7143
(eda_scr_amp_high) => eda_scr_amp_high meets eda_peaks_medium,True,0.625,0.625,0.5556,True,True,0.6129,0.6763,0.5938,False,0.5854,0.5854,0.5581,,,
(eda_scr_amp_high) => eda_scr_amp_high meets eda_scr_amp_low,True,0.5625,0.5956,0.5,False,False,,,,True,,,,0.6786,0.76,0.6786
(eda_scr_amp_high) => eda_scr_amp_high meets eda_scr_auc_low,True,0.6875,0.825,0.6111,False,False,,,,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high meets eda_std_medium,True,0.625,0.6618,0.5556,False,False,,,,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high starts arousal_medium,True,0.625,0.625,0.5556,True,False,,,,False,0.5122,0.5122,0.4884,,,
(eda_scr_amp_high) => eda_scr_amp_high starts eda_high,False,,,,False,True,0.7097,0.7097,0.6875,False,,,,,,
(eda_scr_amp_high) => eda_scr_amp_high starts eda_scr_auc_high,False,,,,False,True,0.871,0.8991,0.8438,True,,,,0.9643,0.9643,0.9643
(eda_scr_amp_high) => eda_scr_amp_high starts eda_std_high,False,,,,True,True,0.7097,0.7326,0.6875,True,0.5854,0.5993,0.5581,0.8929,0.9259,0.8929
(eda_scr_amp_high) => eda_scr_amp_high starts eda_std_medium,False,,,,True,False,,,,False,0.6341,0.6341,0.6047,,,
(eda_scr_amp_high) => eda_scr_amp_high starts valence_medium,False,,,,True,True,0.5161,0.5161,0.5,True,0.5122,0.5122,0.4884,0.7857,0.7857,0.7857
(eda_scr_amp_low) => eda_scr_amp_low before eda_peaks_high,False,,,,False,True,0.5185,0.5185,0.4375,True,,,,0.76,0.76,0.6786
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_amp_low,False,,,,False,False,,,,True,,,,0.68,0.7616,0.6071
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_auc_low,False,,,,False,True,0.6667,0.8889,0.5625,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low before eda_scr_auc_medium,False,,,,True,False,,,,False,0.5,0.5244,0.4651,,,
(eda_scr_amp_low) => eda_scr_amp_low before eda_std_medium,False,,,,True,True,0.5556,0.6584,0.4688,False,0.5,0.5,0.4651,,,
(eda_scr_amp_low) => eda_scr_amp_low before valence_medium,False,,,,False,True,0.7037,0.7037,0.5938,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low contains eda_peaks_medium,False,,,,False,False,,,,True,,,,0.8,0.8296,0.7143
(eda_scr_amp_low) => eda_scr_amp_low contains eda_scr_auc_low,False,,,,False,False,,,,True,,,,0.76,0.8867,0.6786
(eda_scr_amp_low) => eda_scr_amp_low contains eda_scr_auc_medium,False,,,,False,False,,,,True,,,,0.72,0.7754,0.6429
(eda_scr_amp_low) => eda_scr_amp_low contains eda_std_medium,False,,,,False,False,,,,True,,,,0.84,0.84,0.75
(eda_scr_amp_low) => eda_scr_amp_low equals eda_scr_auc_low,True,0.7647,0.9176,0.7222,True,False,,,,False,0.6,0.6973,0.5581,,,
(eda_scr_amp_low) => eda_scr_amp_low equals eda_scr_auc_medium,False,,,,False,True,0.5926,0.7585,0.5,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low equals eda_std_medium,True,0.5294,0.5606,0.5,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by eda_max_low,False,,,,False,False,,,,True,,,,0.64,0.64,0.5714
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by eda_medium,True,0.5882,0.6228,0.5556,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by eda_peaks_medium,True,0.6471,0.6471,0.6111,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by eda_std_high,False,,,,False,False,,,,True,,,,0.56,0.5807,0.5
(eda_scr_amp_low) => eda_scr_amp_low is-finished-by hr_medium,True,0.5294,0.5956,0.5,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low meets arousal_medium,True,0.5882,0.5882,0.5556,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_peaks_medium,False,,,,True,True,0.5185,0.5722,0.4375,False,0.5,0.5,0.4651,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_amp_high,False,,,,True,False,,,,False,0.6,0.6293,0.5581,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_amp_low,True,0.5882,0.6228,0.5556,False,True,0.5556,0.6584,0.4688,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_auc_high,False,,,,True,True,0.7037,0.7264,0.5938,False,0.8,0.8,0.7442,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_scr_auc_medium,True,0.7059,0.7059,0.6667,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low meets eda_std_low,True,0.5294,0.5606,0.5,False,False,,,,False,,,,,,
(eda_scr_amp_low) => eda_scr_amp_low meets valence_medium,True,0.5882,0.5882,0.5556,False,False,,,,True,,,,0.6,0.6,0.5357
(eda_scr_amp_low) => eda_scr_amp_low starts arousal_medium,False,,,,True,False,,,,False,0.55,0.55,0.5116,,,
